Outage_sec_perweek,Income,Contacts,Yearly_equip_failure,DummyInternetService,Bandwidth_GB_Year,DummyTechie,DummyOnlineSecurity,DummyPort_modem,DummyStreamingMovies,DummyStreamingTV
0.4546611281278934,0.18575340522369907,0.0,0.0,1.0,0.9005066252986731,0.0,0.0,0.0,1.0,1.0
0.4480140068391461,0.1478560040700512,0.0,0.16666666666666666,0.0,0.18438840836512985,0.0,1.0,0.0,1.0,1.0
0.3493596578539668,0.07881527752847271,0.14285714285714285,0.0,0.0,0.8941045484463813,0.0,0.0,0.0,1.0,1.0
0.4466564788042521,0.4317244385975233,0.0,0.16666666666666666,1.0,0.020047449973730008,0.0,0.0,1.0,0.0,1.0
0.3467603427274763,0.19484055104885467,0.5714285714285714,0.0,0.0,0.7880698424475431,1.0,1.0,0.0,0.0,0.0
0.3707873192532128,0.08539720225751081,0.2857142857142857,0.0,0.0,0.9237383365981665,0.0,0.0,0.0,1.0,1.0
0.35232405677458356,0.21862903184322321,0.2857142857142857,0.16666666666666666,0.0,0.880591656703756,0.0,0.0,0.0,1.0,0.0
0.524405635126446,0.47045900200435486,0.2857142857142857,0.0,0.0,0.6511109234380502,0.0,0.0,1.0,0.0,1.0
0.21089023486820224,0.14972595651250545,0.0,0.0,0.0,0.3762874107122412,0.0,1.0,1.0,0.0,0.0
0.16553475608948326,0.16550390263808798,0.0,0.16666666666666666,1.0,0.8383209035688287,0.0,1.0,0.0,0.0,1.0
0.4357990497423145,0.4435216772422944,0.2857142857142857,0.0,0.0,0.5080353793059785,0.0,0.0,1.0,0.0,1.0
0.593643165524824,0.10793243433439684,0.2857142857142857,0.0,0.0,0.7445123734697255,0.0,0.0,1.0,0.0,1.0
0.46986431455650784,0.09538412829324915,0.2857142857142857,0.0,0.0,0.7243351983204258,0.0,1.0,0.0,0.0,0.0
0.57928332929336,0.103557454180499,0.14285714285714285,0.0,0.0,0.8325457960590226,1.0,1.0,1.0,1.0,0.0
0.46256599018679967,0.25151301268065857,0.0,0.0,1.0,0.08434975783990595,0.0,0.0,0.0,1.0,0.0
0.5591246017562834,0.1069927395271273,0.0,0.0,0.0,0.6722319462022016,0.0,0.0,0.0,0.0,1.0
0.44789030663327234,0.10975346045436195,0.0,0.0,1.0,0.9352676786934295,0.0,1.0,0.0,1.0,1.0
0.6163133246641108,0.25373403566005653,0.0,0.0,1.0,0.6524326637518598,1.0,1.0,1.0,0.0,1.0
0.21034340031823764,0.09971729868065628,0.2857142857142857,0.0,0.0,0.15717642573810905,0.0,0.0,1.0,1.0,1.0
0.3066384182141327,0.11012827862925696,0.0,0.16666666666666666,0.0,0.08042605530293676,0.0,0.0,0.0,0.0,0.0
0.2917737486982022,0.028528339150924478,0.0,0.16666666666666666,1.0,0.2031004502383407,0.0,0.0,1.0,1.0,1.0
0.34833490279726415,0.02958553448603749,0.0,0.0,0.0,0.8736586706816434,0.0,1.0,0.0,0.0,1.0
0.35962705920087096,0.11779992599555303,0.0,0.0,0.0,0.11898964099811674,0.0,0.0,0.0,0.0,0.0
0.33375035952770776,0.014247190401096446,0.0,0.0,1.0,0.1942259628388704,0.0,0.0,1.0,0.0,1.0
0.40137016980744655,0.32392540101116213,0.2857142857142857,0.16666666666666666,1.0,0.6792100976612362,0.0,1.0,0.0,0.0,1.0
0.7359917341087279,0.0780130792243248,0.0,0.0,1.0,0.7463423968992643,0.0,1.0,0.0,0.0,1.0
0.3935390777473399,0.07041708394244672,0.0,0.0,0.0,0.043998768772783865,0.0,0.0,0.0,0.0,1.0
0.524301880453576,0.2385512502067766,0.14285714285714285,0.16666666666666666,1.0,0.21722097178078534,0.0,0.0,0.0,0.0,0.0
0.49991479467282357,0.08074633952786989,0.14285714285714285,0.0,1.0,0.16801074655772827,0.0,1.0,0.0,1.0,0.0
0.411363213478282,0.11635108801891829,0.0,0.16666666666666666,0.0,0.8576369290518356,0.0,0.0,0.0,0.0,1.0
0.500344973864449,0.05354384570099876,0.0,0.16666666666666666,0.0,0.800291133771992,1.0,1.0,1.0,1.0,0.0
0.46510268572021773,0.24098642737401832,0.14285714285714285,0.0,0.0,0.10084523919000213,0.0,0.0,1.0,0.0,1.0
0.4213689060281544,0.46265326170519727,0.42857142857142855,0.0,1.0,0.20124726130820683,0.0,1.0,1.0,0.0,1.0
0.24671653390397177,0.059348866841231154,0.2857142857142857,0.0,0.0,0.9054484752964604,0.0,0.0,0.0,1.0,1.0
0.5396575720383404,0.02243095906073528,0.0,0.16666666666666666,1.0,0.6316990141234141,0.0,1.0,1.0,0.0,0.0
0.6109067112997603,0.06741177007970117,0.2857142857142857,0.0,0.0,0.10403255310045595,0.0,1.0,1.0,0.0,1.0
